address,zip,BuildingType,CalendarYear built,HeatingHeating,SnowflakeCooling,ParkingParking,HOAHOA,LotLot,Price Square FeetPrice/sqft,Rent,Mortgage fees per month,Mortgage fees per year,Walk Score,School Rank,Violent Crime,Property Crime
"309 NE Oak Dr, Ankeny, IA 50021",50021,Single Family Residence,1969,Forced Air Gas Natural Gas,Central Air,2,,8712,224,,521,6248,75,24,,
"108 E Union St, Manchester, IA 52057",52057,Single Family Residence,1870,Forced Air,Central Air,1,,8407,69,,319,3825,70,95,,
"1621 NW 70th Pl, Ankeny, IA 50023",50023,Single Family Residence,1962,Forced Air Gas Natural Gas,Central Air,2,,15246,151,,946,11348,6,15,,
"0 200th St, Washington, IA 52353",52353,Farm,,,,,,,,,,,42,155,759,1805
"301 S Park St, Inwood, IA 51240",51240,Single Family Residence,1900,Central Natural Gas,One Central Air Unit,2,,7000,87,,249,2984,,,,
"301 2nd St SE, Altoona, IA 50009",50009,Single Family Residence,1910,Forced Air Gas Natural Gas,Central Air,,,8712,121,,329,3952,55,75,,
"4922 Raleigh Ln, Iowa City, IA 52245",52245,,,,,,,,,,,,5,27,1805,1618
"1454 238th St, Creston, IA 50801",50801,,,,,,,,,,,,0,131,1618,2107
"16415 N Valley Dr, Urbandale, IA 50323",16415,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,3,,10018,336,,1200,14405,1,110,2107,1022
"137 Aspen Dr, Norwalk, IA 50211",50211,,,,,,,,,,,,30,59,1022,750
"2959 NW Brookside Dr, Grimes, IA 50111",50111,Unimproved Land,,,,,,,,,255,3060,23,43,,
"635 36th Ave N, Clinton, IA 52732",52732,Single Family Residence,2021,Natural Gas Forced Air,Central Air,,,10454,213,,765,9177,3,101,750,3647
"5380 Crestview Hgts Dr, Bettendorf, IA 52722",52722,Single Family Residence,1965,Natural Gas 2+ Heating Systems Forced Air,2+ Cooling Systems Central Air,,50,20038,84,,637,7647,5,4,3647,1282
"906 Mill St, Alden, IA 50006",50006,Single Family Residence,1887,Hot Water,Window Unit(s),1,,11761,40,,159,1910,22,,,
"0 New Salem Rd, Marshalltown, IA 50158",50158,Unimproved Land,,,,,,,,,478,5738,24,79,1282,2496
"162 Circle Dr, Springville, IA 52336",52336,Single Family Residence,1965,Forced Air Gas,Central Air Whole House Fan,1,,87120,147,,531,6375,21,,,
"1601 Mulberry St, Granger, IA 50109",50109,,,,,,,,,,,,3,,,
"1223 S 23rd St, Fort Dodge, IA 50501",50501,SINGLE_FAMILY,1949,Forced air Gas,Central,1,,6969,97,,149,1782,44,157,2496,3020
"215 Randolph St, Waterloo, IA 50701",50701,Single Family Residence,1893,Natural Gas,Central Air,,,3484,61,,175,2104,70,116,3020,2484
"LOT 90 Traders Pointe Cir, Council Bluffs, IA 51501",51501,LOT,,Gas,,,,,,,106,1272,1,120,2484,5845
"1709 34th Ave SW UNIT 1, Altoona, IA 50009",50009,Townhouse,2004,Forced Air Gas Natural Gas,Central Air,1,175,,117,,297,3567,23,75,,
"504 W 2nd St, Boone, IA 50036",50036,Single Family Residence,1950,Forced Air Gas Natural Gas,Central Air,1,,20038,178,,382,4590,35,123,5845,1133
